epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0074,4.49269,7.27984,5.86163,0.45144,0.02994,0.16959,0.08362,3.26635,5.91747,5.34366,0.000657895,0.000657895,0.000657895
2,32.3705,3.91708,5.90974,5.13501,0.35387,0.4012,0.29128,0.1244,3.5813,5.09083,5.11273,0.00116065,0.00116065,0.00116065
3,46.3372,3.70145,5.07283,4.71639,0.52509,0.4767,0.49934,0.29331,2.73545,4.41826,4.16385,0.0014984,0.0014984,0.0014984
4,60.4066,3.3799,4.43884,4.34561,0.52935,0.46108,0.4879,0.32387,2.62926,3.442,3.99479,0.0012575,0.0012575,0.0012575
5,74.6335,3.14953,3.95992,4.15587,0.67475,0.6087,0.68001,0.46481,2.54589,2.52713,3.83142,0.00101,0.00101,0.00101
6,89.4609,3.01825,3.62162,3.99979,0.59797,0.64126,0.66515,0.44518,2.45155,2.66014,3.70967,0.0007625,0.0007625,0.0007625
7,104.448,2.82136,3.27843,3.8112,0.73473,0.74636,0.76513,0.52167,2.35259,2.1979,3.54227,0.000515,0.000515,0.000515
8,119.026,2.71823,3.0959,3.70254,0.80889,0.7006,0.80366,0.57452,2.19837,1.9718,3.44532,0.0002675,0.0002675,0.0002675
