epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9038,5.80327,11.672,8.30947,0.00277,0.73054,0.0024,0.00103,4.55981,13.9105,7.77859,0.000654088,0.000654088,0.000654088
2,27.1195,5.5047,9.63658,7.3766,0.00272,0.71856,0.01382,0.00401,5.37074,10.8396,8.14852,0.000884906,0.000884906,0.000884906
3,40.2444,5.00015,8.1943,6.38615,0.23489,0.08982,0.09925,0.04875,4.9346,7.31811,6.86923,0.000675723,0.000675723,0.000675723
